"","x"
"1",20.6876209568957
"2",6.2493632469676
"3",9.67235249180815
"4",-3.58762836740758
"5",9.66057596343821
"6",-1.65060686859594
"7",0.237474786054457
"8",-0.871541240049071
"9",-25.1031061137044
"10",-9.13550483491271
"11",8.78952822132598
"12",4.70129680501209
"13",22.1124646063393
"14",7.59249597679059
"15",-16.101723184984
"16",6.67587006219209
"17",5.59935101243699
"18",-5.95767268719132
"19",8.11304061287212
"20",2.4846687451888
"21",-0.792839457039587
"22",10.4315310061862
"23",5.831595759866
"24",15.2944885540003
"25",13.5517630787828
"26",-0.661686314303716
"27",-13.0610037266091
"28",-4.43553621695667
"29",-5.53533849122846
"30",-8.94790290236637
"31",-0.202837800805661
"32",-17.6453753539845
"33",-2.47055672870146
"34",3.56652307504281
"35",-19.6233403177519
"36",7.38681684291498
"37",-7.47999175276301
"38",1.43201824669715
"39",-0.651507260054652
"40",-7.08215533184151
"41",-21.5295206745457
"42",-2.18663564110884
"43",-10.9045085819664
"44",-19.6295316645563
"45",-1.96308605567763
"46",-15.5219267553305
"47",0.0721518614847811
"48",0.962043544768416
"49",-3.23558801528562
"50",8.08905153280545
"51",-3.84040191230835
"52",7.39209459054982
"53",-2.98500366450242
"54",2.38093096959357
"55",-9.43610985759784
"56",4.45593168648536
"57",16.8613744350443
"58",-3.62848661192148
"59",6.53040417058783
"60",6.04827053257289
"61",-0.0210138357728287
"62",-0.562544582966448
"63",10.2182541896421
"64",-14.7975645767704
"65",9.18303441191376
"66",-0.767511197246732
"67",-10.6883697546877
"68",0.721606572152996
"69",-4.14323338352361
"70",-9.76562462171782
"71",6.21432848257006
"72",2.32646967934075
"73",8.48798265878768
"74",-24.7921582276063
"75",2.39757291880902
"76",-12.8112109607897
"77",9.98140542771516
"78",-5.00495026861759
"79",-1.43107640022389
"80",0.170594865458846
"81",-11.4036076383689
"82",4.57819108829279
"83",0.822806670443668
"84",-9.88348714191562
"85",-2.16589665859151
"86",4.89998247189835
"87",-17.5763138517953
"88",25.4540873115041
"89",16.5322212559141
"90",13.8275556284935
"91",34.5421520788063
"92",20.6854484394153
"93",21.3338135435208
"94",28.1020123911227
"95",-1.22731939277902
"96",-3.40183805818403
"97",-0.707189914898645
"98",4.60409938855971
"99",1.48033575084145
"100",2.0889121131233
"101",-3.22969623047724
"102",-0.0779016329013142
"103",14.6419775554151
"104",-7.37554083296539
"105",4.63826203515773
"106",-5.02804884021598
"107",-0.328337834085808
"108",-2.7385711964521
"109",-5.42629523712099
"110",-6.8856656046099
"111",-3.74971640026834
"112",-0.469814682919672
"113",-19.9907451584464
"114",-6.72277017978961
"115",-8.06563809738535
"116",-3.91226107867084
"117",-3.78126029044575
"118",-18.8498107327104
"119",-4.98501678046432
"120",-21.3106046837075
"121",-8.19271075224634
"122",-20.5852106345981
"123",8.72041156788754
"124",-6.19384120361262
"125",-7.56633365498114
"126",6.44602186084088
"127",-7.79297300658253
"128",16.4944295753112
"129",5.32996843972263
"130",-7.95366141334877
"131",8.57074564109779
"132",12.072723353062
"133",6.95605541273762
"134",28.1976861716073
"135",20.9609115283215
"136",0.765474424056861
"137",10.8425301529309
"138",7.66327636200256
"139",-5.74951529916432
"140",22.8988330019931
"141",-3.25803990132481
"142",17.0434009908816
"143",15.5171713036128
"144",-3.90225521313122
"145",8.30041513084324
"146",-2.03441331298127
"147",-13.1319846459542
"148",8.181564073101
"149",4.700418138302
"150",-8.50084480329243
"151",-1.7517031021183
"152",1.95648107438716
"153",-3.4642034405757
"154",1.2680183529927
"155",-9.88990791990655
"156",-16.5461085092749
"157",-33.7356397249172
"158",-9.87879721535179
"159",-3.81679508192728
"160",4.10987961653225
"161",-3.6170878258559
"162",-18.8276097620316
"163",-8.38310454243214
"164",-17.9048843344941
"165",-2.7093403050178
"166",1.276372545997
"167",-23.9315401564488
"168",4.16524533764343
"169",-12.3951672815314
"170",-15.8104336624914
"171",3.83579209341467
"172",6.3319629273628
"173",-5.7957558665297
"174",8.0965533587972
"175",15.7198122529064
"176",-3.82611135163881
"177",7.63775137836124
"178",8.59471544290686
"179",-3.6978635330011
"180",11.337938200636
"181",-4.95249566598706
"182",15.3906092186119
"183",7.83979875308391
"184",-1.39230412139501
"185",-4.56844411070746
"186",5.35910643220644
"187",-8.84862084309032
"188",1.29725189596556
"189",3.28810348257374
"190",-4.97770108326549
"191",11.3345938234487
"192",-6.512428047285
"193",-1.78431300527181
"194",4.75560330097075
"195",6.8040167700927
"196",-10.2297896567288
"197",8.31838931462276
"198",14.8709613312084
